Phase,Name,Label,Begin_KW,End_KW,Begin_date,End_date
-1,before,before,01/2020,04/2020,2020-01-01,2020-02-04
0,Sporadic cases,sporadic,5/2020,9/2020,2020-02-05,2020-03-10
1,first wave,first_wave,10/2020,20/2020,2020-03-11,2020-05-26
2,Summer plateau 2020,Plateau_2020,21/2020,39/2020,2020-05-27,2020-10-06
3,second wave,second_wave,40/2020,8/2021,2020-10-07,2021-03-04
4,third wave,third_wave,9/2021,23/2021,2021-03-05,2021-06-17
5,Summer plateau 2021,Plateau_2021,24/021,30/2021,2021-06-18,2021-08-05
6,fourth wave,fourth_wave,31/2021,51/2021,2021-08-06,2021-12-30
7,fifth wave,fifth_wave,52/2021,21/2022,2021-12-31,2022-06-03
8,after,after,22/2022,52/2025,2022-06-04,2025-12-31
